 10, 0.00,  1,     250000000,     0
 10, 0.00,  3,      83333333,     0
 10, 0.00,  5,      50000000,     0
 10, 0.00,  7,      35714286,     0
 10, 0.00,  9,      27777778,     0
 10, 0.00, 11,      22727273,     0
 10, 0.00, 13,      19230769,     0
 10, 0.00, 15,      16666667,     0
 10, 0.01,  1,     132860250,     6
 10, 0.01,  3,      83333333,     0
 10, 0.01,  5,      50000000,     0
 10, 0.01,  7,      35714286,     0
 10, 0.01,  9,      27777778,     0
 10, 0.01, 11,      22727273,     0
 10, 0.01, 13,      19230769,     0
 10, 0.01, 15,      16666667,     0
 10, 0.02,  1,     119574225,     7
 10, 0.02,  3,      83333333,     0
 10, 0.02,  5,      50000000,     0
 10, 0.02,  7,      35714286,     0
 10, 0.02,  9,      27777778,     0
 10, 0.02, 11,      22727273,     0
 10, 0.02, 13,      19230769,     0
 10, 0.02, 15,      16666667,     0
 10, 0.03,  1,      96855122,     9
 10, 0.03,  3,      75000000,     1
 10, 0.03,  5,      50000000,     0
 10, 0.03,  7,      35714286,     0
 10, 0.03,  9,      27777778,     0
 10, 0.03, 11,      22727273,     0
 10, 0.03, 13,      19230769,     0
 10, 0.03, 15,      16666667,     0
 10, 0.04,  1,      41692954,    17
 10, 0.04,  3,      83333333,     0
 10, 0.04,  5,      50000000,     0
 10, 0.04,  7,      35714286,     0
 10, 0.04,  9,      27777778,     0
 10, 0.04, 11,      22727273,     0
 10, 0.04, 13,      19230769,     0
 10, 0.04, 15,      16666667,     0
 10, 0.05,  1,      24619273,    22
 10, 0.05,  3,      60750000,     3
 10, 0.05,  5,      50000000,     0
 10, 0.05,  7,      35714286,     0
 10, 0.05,  9,      27777778,     0
 10, 0.05, 11,      22727273,     0
 10, 0.05, 13,      19230769,     0
 10, 0.05, 15,      16666667,     0
 10, 0.06,  1,      17947450,    25
 10, 0.06,  3,      54675000,     4
 10, 0.06,  5,      50000000,     0
 10, 0.06,  7,      35714286,     0
 10, 0.06,  9,      27777778,     0
 10, 0.06, 11,      22727273,     0
 10, 0.06, 13,      19230769,     0
 10, 0.06, 15,      16666667,     0
 10, 0.07,  1,       9538011,    31
 10, 0.07,  3,      49207500,     5
 10, 0.07,  5,      50000000,     0
 10, 0.07,  7,      35714286,     0
 10, 0.07,  9,      27777778,     0
 10, 0.07, 11,      22727273,     0
 10, 0.07, 13,      19230769,     0
 10, 0.07, 15,      16666667,     0
 10, 0.08,  1,       7725789,    33
 10, 0.08,  3,      26150883,    11
 10, 0.08,  5,      32805000,     4
 10, 0.08,  7,      28928571,     2
 10, 0.08,  9,      27777778,     0
 10, 0.08, 11,      22727273,     0
 10, 0.08, 13,      19230769,     0
 10, 0.08, 15,      16666667,     0
 10, 0.09,  1,       7725789,    33
 10, 0.09,  3,      13897651,    17
 10, 0.09,  5,      21523361,     8
 10, 0.09,  7,      26035714,     3
 10, 0.09,  9,      27777778,     0
 10, 0.09, 11,      22727273,     0
 10, 0.09, 13,      19230769,     0
 10, 0.09, 15,      16666667,     0
 10, 0.10,  1,       6257889,    35
 10, 0.10,  3,       7385782,    23
 10, 0.10,  5,      14121477,    12
 10, 0.10,  7,      23432143,     4
 10, 0.10,  9,      25000000,     1
 10, 0.10, 11,      22727273,     0
 10, 0.10, 13,      19230769,     0
 10, 0.10, 15,      16666667,     0
 10, 0.11,  1,       3325699,    41
 10, 0.11,  3,       4361230,    28
 10, 0.11,  5,      10294557,    15
 10, 0.11,  7,      13836446,     9
 10, 0.11,  9,      18225000,     4
 10, 0.11, 11,      20454545,     1
 10, 0.11, 13,      17307692,     1
 10, 0.11, 15,      16666667,     0
 10, 0.12,  1,       2424434,    44
 10, 0.12,  3,       2317737,    34
 10, 0.12,  5,       3988322,    24
 10, 0.12,  7,      12452801,    10
 10, 0.12,  9,      11957423,     8
 10, 0.12, 11,      13420227,     5
 10, 0.12, 13,      15576923,     2
 10, 0.12, 15,       9841500,     5
 10, 0.13,  1,       2424434,    44
 10, 0.13,  3,       1108566,    41
 10, 0.13,  5,       2907487,    27
 10, 0.13,  7,       8170283,    14
 10, 0.13,  9,       7845265,    12
 10, 0.13, 11,       8805011,     9
 10, 0.13, 13,      11355577,     5
 10, 0.13, 15,       7174454,     8
 10, 0.14,  1,       2181991,    45
 10, 0.14,  3,        654597,    46
 10, 0.14,  5,       1716842,    32
 10, 0.14,  7,       3907821,    21
 10, 0.14,  9,       4169295,    18
 10, 0.14, 11,       3790269,    17
 10, 0.14, 13,       6034819,    11
 10, 0.14, 15,       3812799,    14
 10, 0.15,  1,       2181991,    45
 10, 0.15,  3,        429481,    50
 10, 0.15,  5,        484887,    44
 10, 0.15,  7,       2076776,    27
 10, 0.15,  9,       3039416,    21
